"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"111D",9666,6201,5943,5720,4982,4982
"111R",23485,16341,16060,15851,14747,14747
"112D",9235,6101,5896,5711,5031,5031
"112R",6894,3956,3672,3504,2949,2949
"113D",16837,11475,11163,10939,10161,10161
"113R",12583,7522,7232,6918,5484,5484
"121D",2386,1432,1308,1236,1084,1084
"121R",4402,3001,2853,2688,2385,2385
"122D",8420,5401,5210,5007,4541,4541
"122R",42787,28737,28324,27966,26653,26620
"123D",7124,4036,3854,3638,3421,3421
"123R",24871,16121,15871,15666,15046,14157
"211D",8880,5420,5087,4839,4521,4521
"211R",22534,14390,14105,13829,13074,13074
"212D",4564,2774,2495,2247,2057,2057
"212R",7113,4384,4185,4016,3665,3665
"213D",9438,5857,5514,5243,4460,4460
"213R",18835,10671,10255,9839,9032,9032
"221D",11851,7682,7374,7105,6538,6538
"221R",15580,9502,9148,8779,7847,7847
"222D",21744,14396,13995,13541,12482,12482
"222R",3505,2050,1826,1657,1432,1432
"223D",4630,2948,2772,2637,2437,2437
"223R",11562,7027,6785,6602,5565,5565
"311D",16638,11380,11062,10699,9782,9782
"311R",12411,7509,7312,7081,6578,6578
"312D",9297,5611,5166,4739,4365,4365
"312R",11252,6424,6252,6070,5847,5847
"313D",13680,8373,8014,7745,7091,7091
"313R",11375,7503,7257,7096,6739,6739
"321D",7954,4939,4623,4445,3958,3958
"321R",4090,2344,2170,2032,1845,1845
"322D",6416,3934,3623,3326,2825,2825
"322R",9591,5680,5384,5075,4446,4446
"323D",39875,23774,23222,22702,20969,20835
"323R",7020,3842,3595,3375,3060,3060
"411D",33539,18813,18097,17487,15949,15942
"411R",9876,5956,5696,5358,4902,4902
"412D",11575,6924,6579,6198,5515,5515
"412R",8726,5266,5018,4688,4323,4323
"413D",20130,12687,12170,11672,10531,10531
"413R",23226,14903,14600,14154,12659,12658
"421D",13319,7671,7264,6825,5995,5995
"421R",8025,5066,4788,4582,4288,4288
"422D",18917,11169,10720,10242,9087,9085
"422R",25530,15470,14968,14605,13055,13055
"423D",11851,7244,6819,6475,4666,4605
"423R",10247,6155,5864,5632,4945,4945
"511D",16462,10744,10427,10031,9376,9324
"511R",25228,15543,15048,14718,13395,13273
"512D",11965,8350,8152,7844,7612,7612
"512R",7425,4465,4247,4072,3812,3812
"513D",16555,9229,8940,8547,7587,7587
"513R",10367,6295,5902,5567,5268,5268
"521D",3395,2029,1872,1683,1415,1415
"521R",5673,3699,3509,3328,3082,3037
"522D",4280,2480,2360,2198,1953,1953
"522R",17989,10776,10387,10090,9065,9065
"523D",14507,8320,8024,7737,7078,7078
"523R",7801,5003,4783,4640,3880,3880
"611D",3692,2412,2124,1853,1680,1680
"611R",24791,15235,14754,14274,13453,13170
"612D",4195,2611,2406,2214,1964,1964
"612R",3689,2208,2017,1854,1728,1728
"613D",10333,6857,6479,6233,5855,5855
"613R",8132,5149,4840,4459,4100,4100
"621D",6519,4260,4082,3846,3431,3431
"621R",12366,7924,7677,7516,7020,7020
"622D",6818,4231,4044,3772,3540,3540
"622R",16137,10912,10610,10360,9699,9699
"623D",6902,4429,4253,4090,3823,3823
"623R",8923,5579,5278,5053,4308,4210
